session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,-2,9856.0,7378.0,2478.0,0.9545763051582631,0.9979307340176635,0.7212307411143074,0.9972405957159748,0.23334556404395565,0.987706903313156
1,-1,10196.0,7388.0,2808.0,0.9556134382136344,0.9951377131521557,0.6796064281240642,0.9894491466431675,0.2760070100895701,0.9726927159445675
2,-2,12728.0,8186.0,4542.0,1.2475489206614891,0.9941402156794449,0.7736277631762777,0.9950769497856695,0.4739211574852116,0.9683113984792652
3,-1,12367.75,8201.0,4166.75,1.2632005777325057,0.9955488897433608,0.8128788764987888,0.9971666561050276,0.450321701233717,0.9829005525525643
4,-2,11100.25,8140.0,2960.25,1.103488582137886,0.984979531039893,0.8139567568475675,0.9908200224378862,0.28953182529031823,0.948781038164665
5,-1,7042.75,7579.0,-536.25,0.5391825507893255,0.815511369624963,0.7791537186215372,0.9907803114170836,-0.23997116783221167,0.5624831998900405
6,-2,9790.0,7942.0,1848.0,0.9773199147486992,0.9811431591813105,0.7875015690870157,0.9949770850410066,0.18981834566168346,0.7965362557164045
7,-1,7232.0,7307.0,-75.0,0.7526750575317506,0.9911104411674687,0.6970046586460465,0.9978146596307146,0.05567039888570399,0.40503575099357503
8,-2,9524.5,7165.0,2359.5,0.9050487684714876,0.9949144793907994,0.6838140750041407,0.994680334733285,0.22123469346734692,0.9344158133724224
9,-1,10684.0,7731.0,2953.0,0.9964474585619746,0.9885986587928879,0.7339249348032494,0.9954585516751744,0.26252252375872526,0.9283982077280091
10,-2,10366.0,7580.0,2786.0,0.998414198331142,0.9921570098722822,0.7509478074454781,0.9977621545744464,0.2474663908856639,0.9176098201159468
11,-1,11184.0,7890.0,3294.0,1.0426245373707455,0.991135139598125,0.7666295122902951,0.9978282462358995,0.27599502508045026,0.862484336103112
12,-2,6864.5,7189.0,-324.5,0.7333476325484763,0.9941988269197389,0.7260411866044119,0.9964390170204434,0.007306445944064459,0.017701781401173677
13,-1,10859.0,7718.0,3141.0,1.1803633484041336,0.9915229357968057,0.8281260479892605,0.994241906914824,0.352237300414873,0.9449306729131993
